,pathway,program,gene,cellline,perturbation
0,IFNB,IFNB_program1_up,TASP1,A549,IFNAR1
0,IFNB,IFNB_program1_up,CHD3,A549,IFNAR1
0,IFNB,IFNB_program1_up,ZRANB3,A549,IFNAR1
0,IFNB,IFNB_program1_up,PRC1,A549,IFNAR1
0,IFNB,IFNB_program1_up,FRMD6,A549,IFNAR1
0,IFNB,IFNB_program1_up,ILF3,A549,IFNAR1
0,IFNB,IFNB_program1_up,RDX,A549,IFNAR1
0,IFNB,IFNB_program1_up,TAF1,A549,IFNAR1
0,IFNB,IFNB_program1_up,RPL7A,A549,IFNAR1
0,IFNB,IFNB_program1_up,CDV3,A549,IFNAR1
0,IFNB,IFNB_program1_up,YWHAE,A549,IFNAR1
0,IFNB,IFNB_program1_up,HSPA4,A549,IFNAR1
0,IFNB,IFNB_program1_up,AHNAK,A549,IFNAR2
0,IFNB,IFNB_program1_up,PABPC1,A549,IFNAR2
0,IFNB,IFNB_program1_up,PRKDC,A549,IFNAR2
0,IFNB,IFNB_program1_up,MT-ATP6,A549,IFNAR2
0,IFNB,IFNB_program1_up,MT-ND5,A549,IFNAR2
0,IFNB,IFNB_program1_up,EEF1A1,A549,IFNAR2
0,IFNB,IFNB_program1_up,MT-ND4,A549,IFNAR2
0,IFNB,IFNB_program1_up,FAT1,A549,IFNAR2
0,IFNB,IFNB_program1_up,MYH9,A549,IFNAR2
0,IFNB,IFNB_program1_up,MT-CO3,A549,IFNAR2
0,IFNB,IFNB_program1_up,MT-CYB,A549,IFNAR2
0,IFNB,IFNB_program1_up,CBX5,A549,IFNAR2
0,IFNB,IFNB_program1_up,EEF2,A549,IFNAR2
0,IFNB,IFNB_program1_up,PTPRF,A549,IFNAR2
0,IFNB,IFNB_program1_up,EIF4G2,A549,IFNAR2
0,IFNB,IFNB_program1_up,MT-ATP8,A549,IFNAR2
0,IFNB,IFNB_program1_up,H2AFV,A549,IFNAR2
0,IFNB,IFNB_program1_up,NORAD,A549,IFNAR2
0,IFNB,IFNB_program1_up,TFRC,A549,IFNAR2
0,IFNB,IFNB_program1_up,CENPF,A549,IFNAR2
0,IFNB,IFNB_program1_up,NUCKS1,A549,IFNAR2
0,IFNB,IFNB_program1_up,ADK,A549,IFNAR2
0,IFNB,IFNB_program1_up,EIF4B,A549,IFNAR2
0,IFNB,IFNB_program1_up,HSP90AB1,A549,IFNAR2
0,IFNB,IFNB_program1_up,SET,A549,IFNAR2
0,IFNB,IFNB_program1_up,EGFR,A549,IFNAR2
0,IFNB,IFNB_program1_up,TRIO,A549,IFNAR2
0,IFNB,IFNB_program1_up,IQGAP1,A549,IFNAR2
0,IFNB,IFNB_program1_up,RPL4,A549,IFNAR2
0,IFNB,IFNB_program1_up,HSPA8,A549,IFNAR2
0,IFNB,IFNB_program1_up,CD44,A549,IFNAR2
0,IFNB,IFNB_program1_up,TOP2A,A549,IFNAR2
0,IFNB,IFNB_program1_up,ENO1,A549,IFNAR2
0,IFNB,IFNB_program1_up,HNRNPA1,A549,IFNAR2
0,IFNB,IFNB_program1_up,DDX21,A549,IFNAR2
0,IFNB,IFNB_program1_up,CANX,A549,IFNAR2
0,IFNB,IFNB_program1_up,HSP90AA1,A549,IFNAR2
0,IFNB,IFNB_program1_up,EIF3A,A549,IFNAR2
0,IFNB,IFNB_program1_up,XRCC5,A549,IFNAR2
0,IFNB,IFNB_program1_up,KIF23,A549,IFNAR2
0,IFNB,IFNB_program1_up,IPO5,A549,IFNAR2
0,IFNB,IFNB_program1_up,SCFD2,A549,IFNAR2
0,IFNB,IFNB_program1_up,AP2B1,A549,IFNAR2
0,IFNB,IFNB_program1_up,FLNA,A549,IFNAR2
0,IFNB,IFNB_program1_up,SMARCC1,A549,IFNAR2
0,IFNB,IFNB_program1_up,NAA50,A549,IFNAR2
0,IFNB,IFNB_program1_up,CMSS1,A549,IFNAR2
0,IFNB,IFNB_program1_up,SMYD3,A549,IFNAR2
0,IFNB,IFNB_program1_up,PBX3,A549,IFNAR2
0,IFNB,IFNB_program1_up,FER,A549,IFNAR2
0,IFNB,IFNB_program1_up,NPM1,A549,IFNAR2
0,IFNB,IFNB_program1_up,IPO7,A549,IFNAR2
0,IFNB,IFNB_program1_up,RPS6,A549,IFNAR2
0,IFNB,IFNB_program1_up,HSPD1,A549,IFNAR2
0,IFNB,IFNB_program1_up,NUDT3,A549,IFNAR2
0,IFNB,IFNB_program1_up,KIF4A,A549,IFNAR2
0,IFNB,IFNB_program1_up,PTPN11,A549,IFNAR2
0,IFNB,IFNB_program1_up,STAG1,A549,IFNAR2
0,IFNB,IFNB_program1_up,CAPN2,A549,IFNAR2
0,IFNB,IFNB_program1_up,CKAP5,A549,IFNAR2
0,IFNB,IFNB_program1_up,BRI3BP,A549,IFNAR2
0,IFNB,IFNB_program1_up,ERMP1,A549,IFNAR2
0,IFNB,IFNB_program1_up,DOCK5,A549,IFNAR2
0,IFNB,IFNB_program1_up,ACTR2,A549,IFNAR2
0,IFNB,IFNB_program1_up,PKP4,A549,IFNAR2
0,IFNB,IFNB_program1_up,LRPPRC,A549,IFNAR2
0,IFNB,IFNB_program1_up,CTNNAL1,A549,IFNAR2
0,IFNB,IFNB_program1_up,YWHAB,A549,IFNAR2
0,IFNB,IFNB_program1_up,ROR1,A549,IFNAR2
0,IFNB,IFNB_program1_up,TOMM20,A549,IFNAR2
0,IFNB,IFNB_program1_up,EIF4G3,A549,IFNAR2
0,IFNB,IFNB_program1_up,WEE1,A549,IFNAR2
0,IFNB,IFNB_program1_up,CDK6,A549,IFNAR2
0,IFNB,IFNB_program1_up,MTATP6P1,A549,IFNAR2
0,IFNB,IFNB_program1_up,HMGA2,A549,IFNAR2
0,IFNB,IFNB_program1_up,GALNT10,A549,IFNAR2
0,IFNB,IFNB_program1_up,MKI67,A549,IFNAR2
0,IFNB,IFNB_program1_up,PTPN14,A549,IFNAR2
0,IFNB,IFNB_program1_up,EIF4EBP2,A549,IFNAR2
0,IFNB,IFNB_program1_up,MYO9A,A549,IFNAR2
0,IFNB,IFNB_program1_up,TPX2,A549,IFNAR2
0,IFNB,IFNB_program1_up,CALM1,A549,IFNAR2
0,IFNB,IFNB_program1_up,ARL15,A549,IFNAR2
0,IFNB,IFNB_program1_up,SERBP1,A549,IFNAR2
0,IFNB,IFNB_program1_up,PAICS,A549,IFNAR2
0,IFNB,IFNB_program1_up,CDC42BPA,A549,IFNAR2
0,IFNB,IFNB_program1_up,MAP3K20,A549,IFNAR2
0,IFNB,IFNB_program1_up,HACD2,A549,IFNAR2
0,IFNB,IFNB_program1_up,THADA,A549,IFNAR2
